,authorDisplayName,publishedAt,likeCount,viewerRating,totalReplyCount,authorChannelURL,comment
79,Unifree Gaming,2019-06-24T15:56:18.000Z,2,none,0,http://www.youtube.com/channel/UCz3ETgWbAluDwiCRzhmEVNA,I was watching this on my phone and hey siri turned on during the video idek😂😂😂💀
80,8D Muzic Zone,2019-06-24T07:50:41.000Z,0,none,0,http://www.youtube.com/channel/UCqI0lTSD0c5ZqpIXQSOJcPA,When you say food being delivered the dilivery man was at my door step
81,Rakesh Balgobind,2019-06-24T02:06:53.000Z,0,none,0,http://www.youtube.com/channel/UCQgmRJh6YTjvBqaLuYkgNiQ,Can you give away a 💻 MacBook please I can subscribe to your videos
82,John Kampe,2019-06-21T16:25:22.000Z,0,none,0,http://www.youtube.com/channel/UCWdKk7cHvbtvjy9kawyausQ,she was tapping for ASMR when she was on the phone call
83,John Kampe,2019-06-21T16:16:56.000Z,0,none,0,http://www.youtube.com/channel/UCWdKk7cHvbtvjy9kawyausQ,"it's not MacBook Air it's ""MacBook"""
84,John Kampe,2019-06-21T16:15:30.000Z,0,none,0,http://www.youtube.com/channel/UCWdKk7cHvbtvjy9kawyausQ,"guys she was from the future Peter Rabbit came out in 2018, and ""that'll do pig"" was in Peter Rabbit!"
85,Izzy B,2019-06-18T20:07:14.000Z,1,none,0,http://www.youtube.com/channel/UCBZDUgtmBEtmAVMh_g4XG7w,Who else is watching this in 2020
86,Subhranil Ghosh,2019-06-16T04:04:23.000Z,0,none,1,http://www.youtube.com/channel/UCIJ0XmusiAeND9rUYkHstuA,Can u please say  what is the price of your laptip
87,mom f,2019-06-13T02:01:01.000Z,1,none,0,http://www.youtube.com/channel/UCpSNvIix5BPn-vgK1W5yEOA,"I am getting one on Saturday, and I am so excited"
88,Kaios,2019-06-10T00:56:58.000Z,0,none,0,http://www.youtube.com/channel/UCssX7Ckp2Ky4ZD0657N8l6w,Who is watching this in 2065
89,Hana Rose,2019-06-08T20:06:20.000Z,0,none,0,http://www.youtube.com/channel/UCVgqqAi4b_He4rHzhKAlvAA,Yes.......
90,Vedant Shah,2019-06-02T02:51:44.000Z,0,none,0,http://www.youtube.com/channel/UCGYHO6rHPVAzMhUO4P8AFtw,Me
91,Rene Maldonado,2019-06-01T02:52:54.000Z,0,none,0,http://www.youtube.com/channel/UCYtRbrjq06s5EoW1aPJp7tQ,Love
92,Sophia Liu,2019-05-20T02:08:42.000Z,0,none,0,http://www.youtube.com/channel/UCqNlsH19xOAMD1M6S-zTU1A,2T I thought she bought a 4Tssd storage
93,JesusLovesYou,2019-05-08T19:06:54.000Z,0,none,1,http://www.youtube.com/channel/UCQJitVlWBLWoXttKbtu9lbg,My MacBook got on fire and Apple refused to do the repair. My whole family was put in danger and they told me that it is not their fault as I should have home insurance in place just in case their laptop catch fire. Shame on you Apple! Please avoid to buy their MacBooks if you value your life and your family.
94,Lia Henderson,2019-04-24T00:45:38.000Z,0,none,0,http://www.youtube.com/channel/UCkrjRLa1EvCZ198Q_Ma1wbw,2019 anyone from a smaller youtubet
95,normie patarata,2019-04-08T05:00:12.000Z,0,none,0,http://www.youtube.com/channel/UCKGZhwEgQXU85exj6cAzNTQ,ive been watching your videos but i cant even afford buying one.
